location_id,phase_id,lower_age,upper_age,NEW_lower_age,NEW_upper_age
88,1,20,29,20,29
88,1,30,39,30,39
88,1,40,49,40,49
88,1,50,59,50,59
88,1,60,100,60,100
90,1,0,100,0,100
94,2,0,100,0,100
96,1,0,100,0,100
96,1,5,14,5,14
96,1,15,29,15,29
96,1,30,44,30,44
96,1,45,64,45,64
96,1,65,100,65,100
97,1,0,100,0,100
98,1,0,100,0,100
98,1,15,24,0,24
98,1,25,34,25,34
98,1,35,44,35,44
98,1,45,100,45,100
100,1,0,100,0,100
100,1,0,4,0,4
100,1,5,12,5,12
100,1,13,18,13,18
100,1,19,34,19,34
100,1,35,59,35,59
100,1,60,100,60,100
101,1,0,100,0,100
101,1,1,4,1,4
101,1,5,9,5,9
101,1,10,19,10,19
101,1,20,29,20,29
101,1,30,39,30,39
101,1,40,49,40,49
101,1,50,64,50,64
101,1,65,84,65,84
102,1,0,100,0,100
105,1,0,100,0,100
107,1,0,100,0,100
107,1,0,4,0,4
107,1,5,9,5,9
107,1,10,19,10,19
107,1,20,29,20,29
107,1,30,39,30,39
107,1,40,49,40,49
107,1,50,59,50,59
107,1,60,100,60,100
108,1,0,100,0,100
108,1,0,18,0,18
108,1,19,45,19,45
108,1,46,60,46,60
108,1,61,100,61,100
120,1,0,100,0,100
120,1,18,34,0,34
120,1,35,49,35,49
120,1,50,64,50,64
120,1,65,100,65,100
121,1,0,100,0,100
121,1,1,9,0,9
121,1,10,19,10,19
121,1,20,39,20,39
121,1,40,59,40,59
121,1,60,100,60,100
122,1,0,100,0,100
122,1,0,17,0,17
122,1,18,44,18,44
122,1,45,60,45,60
122,1,61,100,61,100
123,1,0,100,0,100
123,1,1,9,0,9
123,1,10,19,10,19
123,1,20,39,20,39
123,1,40,59,40,59
123,1,60,100,60,100
125,1,0,100,0,100
125,1,0,20,0,20
125,1,21,40,21,40
125,1,41,60,41,60
125,1,61,100,61,100
126,1,0,100,0,100
126,1,0,20,0,20
126,1,21,40,21,40
126,1,41,60,41,60
126,1,61,100,61,100
128,1,0,100,0,100
128,1,0,17,0,17
128,1,18,39,18,39
128,1,40,100,40,100
129,1,0,100,0,100
140,1,0,100,0,100
140,1,12,24,0,24
140,1,25,39,25,39
140,1,40,60,40,60
140,1,61,100,61,100
144,1,0,100,0,100
144,1,0,6,0,6
144,1,7,14,7,14
144,1,15,18,15,18
144,1,19,25,19,25
144,1,26,35,26,35
144,1,36,65,36,65
144,1,66,75,66,75
144,1,76,100,76,100
148,1,0,100,0,100
148,1,10,14,10,14
148,1,15,19,15,19
148,1,20,29,20,29
148,1,30,39,30,39
148,1,40,49,40,49
148,1,50,59,50,59
148,1,60,69,60,69
148,1,70,100,70,100
151,1,0,100,0,100
156,3,0,100,0,100
156,3,0,4,0,4
156,3,5,9,5,9
156,3,10,14,10,14
156,3,15,19,15,19
156,3,20,29,20,29
156,3,30,59,30,59
156,3,60,64,60,64
156,3,65,100,65,100
192,1,0,100,0,100
192,1,14,39,15,39
192,1,40,64,40,64
192,1,65,100,65,100
201,1,0,100,0,100
202,1,0,100,0,100
203,1,0,100,0,100
203,1,15,25,0,25
203,1,26,35,26,35
203,1,36,45,36,45
203,1,46,60,46,60
203,1,61,100,61,100
206,1,0,100,0,100
206,1,10,19,10,19
206,1,20,29,20,29
206,1,30,39,30,39
206,1,40,49,40,49
206,1,50,59,50,59
206,1,60,69,60,69
206,1,70,100,70,100
209,1,0,100,0,100
209,1,18,29,20,29
209,1,30,49,30,49
209,1,50,59,50,59
209,1,60,100,60,100
216,1,0,100,0,100
216,1,18,29,20,29
216,1,30,49,30,49
216,1,50,59,50,59
216,1,60,100,60,100
218,12,0,100,0,100
219,1,0,100,0,100
219,1,7,14,7,14
219,1,15,24,15,24
219,1,25,39,25,39
219,1,40,59,40,59
219,1,60,100,60,100
220,1,0,100,0,100
220,1,18,29,0,29
220,1,30,49,30,49
220,1,50,59,50,59
220,1,60,100,60,100
221,123,0,100,0,100
221,123,0,19,0,19
221,123,20,29,20,29
221,123,30,39,30,39
221,123,40,49,40,49
221,123,50,59,50,59
221,123,60,100,60,100
222,1,0,100,0,100
223,1,0,100,0,100
229,1,0,100,0,100
229,1,0,4,0,4
229,1,5,14,5,14
229,1,15,29,15,29
229,1,30,44,30,44
229,1,45,64,45,64
229,1,65,100,65,100
231,1,0,100,0,100
231,1,0,5,0,5
231,1,6,15,6,15
231,1,16,30,16,30
231,1,31,45,31,45
231,1,46,60,46,60
231,1,61,100,61,100
232,1,0,100,0,100
233,1,0,100,0,100
233,1,0,14,0,14
233,1,15,30,15,30
233,1,31,49,31,49
233,1,50,100,50,100
234,1,0,100,0,100
234,1,10,19,10,19
234,1,20,29,20,29
234,1,30,39,30,39
234,1,40,49,40,49
234,1,50,59,50,59
234,1,60,69,60,69
234,1,70,79,70,79
234,1,80,100,80,100
235,1,0,100,0,100
235,1,10,19,10,19
235,1,20,29,20,29
235,1,30,39,30,39
235,1,40,49,40,49
235,1,50,59,50,59
235,1,60,69,60,69
235,1,70,79,70,79
235,1,80,100,80,100
238,1,0,100,0,100
238,1,0,4,0,4
238,1,5,9,5,9
238,1,10,19,10,19
238,1,20,29,20,29
238,1,30,39,30,39
238,1,40,49,40,49
238,1,50,59,50,59
238,1,60,69,60,69
238,1,70,100,70,100
