location_id,global_region,country,location_label,lower_age,upper_age,deaths,fatalities_citation_id
36,Africa,Kenya,Nairobi County,40,59,278,n-33
36,Africa,Kenya,Nairobi County,60,100,294,n-33
38,Latin America,Argentina,Buenos Aires City,0,100,4922,a-301
38,Latin America,Argentina,Buenos Aires City,0,17,4,a-301
38,Latin America,Argentina,Buenos Aires City,18,39,82,a-301
38,Latin America,Argentina,Buenos Aires City,40,59,483,a-301
38,Latin America,Argentina,Buenos Aires City,60,100,4353,a-301
40,Latin America,Argentina,Municipality of Hurlingham,0,100,291,a-301
40,Latin America,Argentina,Municipality of Hurlingham,0,17,0,a-301
40,Latin America,Argentina,Municipality of Hurlingham,18,30,2,a-301
40,Latin America,Argentina,Municipality of Hurlingham,31,40,1,a-301
40,Latin America,Argentina,Municipality of Hurlingham,41,50,10,a-301
40,Latin America,Argentina,Municipality of Hurlingham,51,60,26,a-301
40,Latin America,Argentina,Municipality of Hurlingham,61,70,58,a-301
40,Latin America,Argentina,Municipality of Hurlingham,71,80,82,a-301
40,Latin America,Argentina,Municipality of Hurlingham,81,100,112,a-301
42,Latin America,Bolivia,Santa Cruz,0,100,3968,n-1061
44,Latin America,Colombia,Leticia,0,100,106,a-302
44,Latin America,Colombia,Leticia,0,4,0,a-302
44,Latin America,Colombia,Leticia,5,10,0,a-302
44,Latin America,Colombia,Leticia,11,18,0,a-302
44,Latin America,Colombia,Leticia,19,40,1,a-302
44,Latin America,Colombia,Leticia,41,60,32,a-302
44,Latin America,Colombia,Leticia,61,100,73,a-302
45,Latin America,Colombia,Barranquilla,0,100,1687,a-302
45,Latin America,Colombia,Barranquilla,0,4,1,a-302
45,Latin America,Colombia,Barranquilla,5,10,0,a-302
45,Latin America,Colombia,Barranquilla,11,18,0,a-302
45,Latin America,Colombia,Barranquilla,19,40,102,a-302
45,Latin America,Colombia,Barranquilla,41,60,383,a-302
45,Latin America,Colombia,Barranquilla,61,100,1201,a-302
46,Latin America,Colombia,Medellin,0,100,2209,a-302
46,Latin America,Colombia,Medellin,0,4,0,a-302
46,Latin America,Colombia,Medellin,5,10,1,a-302
46,Latin America,Colombia,Medellin,11,18,1,a-302
46,Latin America,Colombia,Medellin,19,40,71,a-302
46,Latin America,Colombia,Medellin,41,60,304,a-302
46,Latin America,Colombia,Medellin,61,100,1832,a-302
48,Latin America,Colombia,Bucaramanga,0,100,683,a-302
48,Latin America,Colombia,Bucaramanga,0,4,0,a-302
48,Latin America,Colombia,Bucaramanga,5,10,0,a-302
48,Latin America,Colombia,Bucaramanga,11,18,0,a-302
48,Latin America,Colombia,Bucaramanga,19,40,20,a-302
48,Latin America,Colombia,Bucaramanga,41,60,147,a-302
48,Latin America,Colombia,Bucaramanga,61,100,516,a-302
49,Latin America,Colombia,Cucuta,0,100,711,a-302
49,Latin America,Colombia,Cucuta,0,4,0,a-302
49,Latin America,Colombia,Cucuta,5,10,0,a-302
49,Latin America,Colombia,Cucuta,11,18,0,a-302
49,Latin America,Colombia,Cucuta,19,40,38,a-302
49,Latin America,Colombia,Cucuta,41,60,196,a-302
49,Latin America,Colombia,Cucuta,61,100,477,a-302
50,Latin America,Colombia,Villavicencio,0,100,398,a-302
50,Latin America,Colombia,Villavicencio,0,4,1,a-302
50,Latin America,Colombia,Villavicencio,5,10,0,a-302
50,Latin America,Colombia,Villavicencio,11,18,0,a-302
50,Latin America,Colombia,Villavicencio,19,40,16,a-302
50,Latin America,Colombia,Villavicencio,41,60,88,a-302
50,Latin America,Colombia,Villavicencio,61,100,293,a-302
51,Latin America,Colombia,Bogota,0,100,7928,a-302
51,Latin America,Colombia,Bogota,0,4,7,a-302
51,Latin America,Colombia,Bogota,5,10,4,a-302
51,Latin America,Colombia,Bogota,11,18,6,a-302
51,Latin America,Colombia,Bogota,19,40,319,a-302
51,Latin America,Colombia,Bogota,41,60,1705,a-302
51,Latin America,Colombia,Bogota,61,100,5887,a-302
52,Latin America,Colombia,Cali,0,100,2437,a-302
52,Latin America,Colombia,Cali,0,4,0,a-302
52,Latin America,Colombia,Cali,5,10,2,a-302
52,Latin America,Colombia,Cali,11,18,1,a-302
52,Latin America,Colombia,Cali,19,40,75,a-302
52,Latin America,Colombia,Cali,41,60,388,a-302
52,Latin America,Colombia,Cali,61,100,1971,a-302
54,Latin America,Colombia,Ipiales,0,100,118,a-302
54,Latin America,Colombia,Ipiales,0,4,0,a-302
54,Latin America,Colombia,Ipiales,5,10,0,a-302
54,Latin America,Colombia,Ipiales,11,18,0,a-302
54,Latin America,Colombia,Ipiales,19,40,9,a-302
54,Latin America,Colombia,Ipiales,41,60,22,a-302
