location_id,global_region,country,location_label,lower_age,upper_age,sample_size,num_positive
17,South Asia ,India,Pune (five prabhags/subwards),66,100,171,65.664
18,South Asia ,India,West Bengal (only Paschim Medinipur),0,100,458,19
18,South Asia ,India,West Bengal (only Paschim Medinipur),11,19,28,3
18,South Asia ,India,West Bengal (only Paschim Medinipur),20,45,290,11
18,South Asia ,India,West Bengal (only Paschim Medinipur),46,59,101,4
18,South Asia ,India,West Bengal (only Paschim Medinipur),60,100,38,1
19,South Asia ,India,Chennai,0,100,12405,2673
19,South Asia ,India,Chennai,10,19,1473,351
19,South Asia ,India,Chennai,20,29,2105,478
19,South Asia ,India,Chennai,30,39,2353,535
19,South Asia ,India,Chennai,40,49,2353,551
19,South Asia ,India,Chennai,50,59,1927,408
19,South Asia ,India,Chennai,60,100,2108,335
22,Africa,Mozambique,Beira,0,100,4940,219
22,Africa,Mozambique,Beira,0,14,1404,46
22,Africa,Mozambique,Beira,15,34,1679,114
22,Africa,Mozambique,Beira,35,59,793,51
22,Africa,Mozambique,Beira,60,100,236,8
24,Africa,Mozambique,Maputo city,0,100,4717,177
24,Africa,Mozambique,Maputo city,0,14,1168,39
24,Africa,Mozambique,Maputo city,15,34,1537,68
24,Africa,Mozambique,Maputo city,35,59,1253,38
24,Africa,Mozambique,Maputo city,60,100,714,32
25,Africa,Mozambique,Matola district (subset of Maputo province),0,100,5394,192
25,Africa,Mozambique,Matola district (subset of Maputo province),0,14,1661,39
25,Africa,Mozambique,Matola district (subset of Maputo province),15,34,1946,76
25,Africa,Mozambique,Matola district (subset of Maputo province),35,59,1268,57
25,Africa,Mozambique,Matola district (subset of Maputo province),60,100,519,20
26,Africa,Mozambique,Nampula,0,100,1769,79
26,Africa,Mozambique,Nampula,0,14,461,14
26,Africa,Mozambique,Nampula,15,34,719,43
26,Africa,Mozambique,Nampula,35,59,385,19
26,Africa,Mozambique,Nampula,60,100,95,3
27,Africa,Mozambique,Pemba,0,100,1360,31
27,Africa,Mozambique,Pemba,0,14,404,7
27,Africa,Mozambique,Pemba,15,34,455,15
27,Africa,Mozambique,Pemba,35,59,232,7
27,Africa,Mozambique,Pemba,60,100,62,2
28,Africa,Mozambique,Quelimane,0,100,5069,128
28,Africa,Mozambique,Quelimane,0,14,1318,34
28,Africa,Mozambique,Quelimane,15,34,1928,81
28,Africa,Mozambique,Quelimane,35,59,863,12
28,Africa,Mozambique,Quelimane,60,100,226,1
29,Africa,Mozambique,Tete,0,100,1942,16
29,Africa,Mozambique,Tete,0,14,623,2
29,Africa,Mozambique,Tete,15,34,695,10
29,Africa,Mozambique,Tete,35,59,336,3
29,Africa,Mozambique,Tete,60,100,87,1
30,Africa,Mozambique,Chimoio,0,100,9756,135
30,Africa,Mozambique,Chimoio,0,14,3341,37
30,Africa,Mozambique,Chimoio,15,34,4211,59
30,Africa,Mozambique,Chimoio,35,59,1679,29
