location_id,country,location,lower_age,upper_age,Mean,x025,x975
60,Peru,Lambayeque,81,100,25.5215153,14.5376936,38.587324
63,Peru,Lima (Metropolitana) + Callao,0,11,21.9853281,18.0434846,26.1724699
63,Peru,Lima (Metropolitana) + Callao,12,17,22.849013,17.7018494,28.3775195
63,Peru,Lima (Metropolitana) + Callao,18,29,23.1359676,19.428786,26.9435811
63,Peru,Lima (Metropolitana) + Callao,30,59,21.5520336,19.0631318,24.1283586
63,Peru,Lima (Metropolitana) + Callao,60,100,18.192261,14.944262,21.6279092
64,Peru,"Iquitos, Loreto",0,11,69.8918897,62.8086748,76.7316558
64,Peru,"Iquitos, Loreto",12,17,69.6704279,59.842604,78.79676
64,Peru,"Iquitos, Loreto",18,29,53.1979277,45.0854613,61.2359165
64,Peru,"Iquitos, Loreto",30,59,66.2545158,59.8857308,72.3925866
64,Peru,"Iquitos, Loreto",60,100,69.0454073,56.6207135,80.3416303
73,Brazil,Sao Paulo,20,34,24.5728413,20.1419362,29.2471866
73,Brazil,Sao Paulo,35,44,29.7933088,24.2733757,35.6342307
73,Brazil,Sao Paulo,45,59,25.7787782,20.7934674,31.0919137
73,Brazil,Sao Paulo,60,100,24.62131,19.3414685,30.3171419
74,Brazil,Foz do Iguaçu,0,100,12.812079,9.6556724,15.3485966
77,India,Kashmir: Srinagar district,0,30,49.8172751,45.0570508,54.8243303
77,India,Kashmir: Srinagar district,31,50,49.5090148,45.4805422,53.7570099
77,India,Kashmir: Srinagar district,51,70,53.4459095,47.9963776,58.8363977
77,India,Kashmir: Srinagar district,71,100,59.5326932,45.9779811,73.0731424
78,Nepal,National Study,0,4,8.0148102,2.5961593,14.5989622
78,Nepal,National Study,5,14,6.2874494,2.2683008,10.2802383
78,Nepal,National Study,15,24,12.2213043,7.9948502,16.2411749
78,Nepal,National Study,25,34,11.8200275,7.5144544,16.0758881
78,Nepal,National Study,35,44,17.7965103,13.2351806,22.4172823
78,Nepal,National Study,45,54,14.02547,9.4835763,18.5231373
78,Nepal,National Study,55,64,15.4006032,10.5631967,20.3360852
78,Nepal,National Study,65,74,14.698065,8.9653181,20.8604285
78,Nepal,National Study,75,84,6.4625061,1.438296,13.6469386
78,Nepal,National Study,85,100,8.458146,1.3283136,21.2170775
80,Ethiopia,Addis Ababa #2,0,100,3.4065898,2.2054503,4.790617
81,Iran,National Study,0,17,11.5649701,9.0383771,14.0030215
81,Iran,National Study,18,39,11.5407546,9.2956165,13.6248041
81,Iran,National Study,40,59,15.2930724,12.804853,17.7461471
81,Iran,National Study,60,100,17.6888776,14.5062641,20.9927329
82,Mexico,National Study,0,19,21.1290341,19.6609486,22.6327011
82,Mexico,National Study,20,39,34.8215699,32.7735043,37.0365604
82,Mexico,National Study,40,59,26.0126468,24.1069541,27.9866883
82,Mexico,National Study,60,100,17.5382017,15.203747,20.0052969
83,India,Odisha: Bhubaneswar,0,29,2.1901448,0.5997709,4.6744014
83,India,Odisha: Bhubaneswar,30,39,1.4709857,0.2506361,3.6870348
83,India,Odisha: Bhubaneswar,40,49,1.9174092,0.5279144,4.0531605
83,India,Odisha: Bhubaneswar,50,59,3.5679629,1.3687006,6.7473286
83,India,Odisha: Bhubaneswar,60,100,2.4929105,0.7463544,5.1956411
84,India,Odisha: Berhampur,0,19,25.1573891,12.6915837,40.1016218
84,India,Odisha: Berhampur,20,29,33.2207155,26.0360952,40.7583237
84,India,Odisha: Berhampur,30,39,35.7058894,30.0362064,41.710926
84,India,Odisha: Berhampur,40,49,31.3637193,26.7459861,36.254876
84,India,Odisha: Berhampur,50,59,28.4225709,23.1588027,33.9677
84,India,Odisha: Berhampur,60,100,28.5672755,23.6152661,33.8126431
90,South Africa,Mitchells Plain,0,100,45.4036356,39.1378865,52.0429697
98,Ethiopia,Diredawa,0,24,5.8967236,2.6598502,10.2089636
98,Ethiopia,Diredawa,25,34,3.1933666,0.9399898,6.5927729
98,Ethiopia,Diredawa,35,44,5.2900992,1.9432237,9.9427222
98,Ethiopia,Diredawa,45,100,3.0656876,0.8948664,6.2843751
102,Zambia,Ndola + 5 other districts,0,100,2.6735905,0.9221899,3.8562895
120,Russia,St. Petersburg,0,34,11.6951949,7.8618571,15.7774903
120,Russia,St. Petersburg,35,49,7.7059838,4.2904566,11.3722412
120,Russia,St. Petersburg,50,64,11.4056262,6.7051978,16.7466633
120,Russia,St. Petersburg,65,100,5.7792742,1.2419496,13.1175008
121,China,Wuhan #1,0,9,2.4736756,1.5104783,3.6861227
121,China,Wuhan #1,10,19,2.5689496,1.598044,3.7781707
121,China,Wuhan #1,20,39,3.8554702,3.1347444,4.6447199
121,China,Wuhan #1,40,59,4.7961053,4.0314333,5.6274455
121,China,Wuhan #1,60,100,5.2277882,4.1726127,6.4378885
123,China,Hubei province (excluding Wuhan #1),0,9,0.6457722,0.2347245,1.2692397
123,China,Hubei province (excluding Wuhan #1),10,19,1.0502812,0.4949974,1.8101099
123,China,Hubei province (excluding Wuhan #1),20,39,0.6428471,0.3448933,1.0298238
123,China,Hubei province (excluding Wuhan #1),40,59,0.6497918,0.390425,0.9776622
123,China,Hubei province (excluding Wuhan #1),60,100,0.4848623,0.2195542,0.8478083
125,Pakistan,Karachi,0,20,43.5738909,25.8950176,62.4225918
125,Pakistan,Karachi,21,40,32.0631089,26.835267,37.6445032
125,Pakistan,Karachi,41,60,33.2581796,25.5794828,41.4979499
125,Pakistan,Karachi,61,100,38.514284,20.8815538,57.9959797
126,Pakistan,Lahore,0,20,44.0744756,39.6139904,48.6523118
126,Pakistan,Lahore,21,40,47.080811,45.0880101,49.2991398
126,Pakistan,Lahore,41,60,51.8661318,48.7875791,55.0710882
126,Pakistan,Lahore,61,100,46.3689392,40.1733076,52.7641271
140,India,"Mumbai (3 wards, age-specific)",0,24,58.6668207,53.9798803,63.4498438
140,India,"Mumbai (3 wards, age-specific)",25,39,47.7811898,44.6856102,51.0189596
140,India,"Mumbai (3 wards, age-specific)",40,60,48.6720675,45.8591469,51.582898
140,India,"Mumbai (3 wards, age-specific)",61,100,41.2518805,36.840694,45.9169142
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),0,6,7.3299059,1.3798661,17.550849
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),7,14,13.8325165,6.2577417,23.7784375
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),15,18,28.0246876,14.7894662,43.304071
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),19,25,19.0613819,10.290673,29.8200208
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),26,35,15.9603762,10.3332786,22.4749852
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),36,65,12.4565925,9.4075889,15.6684595
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),66,75,6.2675193,2.6958789,10.7522148
144,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),76,100,5.1812804,0.8630445,12.6679865
148,Colombia,Córdoba: 8 cities,10,14,48.0795327,30.9326609,64.6163729
148,Colombia,Córdoba: 8 cities,15,19,42.2204955,29.2114131,54.5883178
148,Colombia,Córdoba: 8 cities,20,29,36.9936282,27.8853501,44.8305318
148,Colombia,Córdoba: 8 cities,30,39,34.8397463,25.847821,42.2983275
148,Colombia,Córdoba: 8 cities,40,49,40.1407142,31.247453,47.8203681
148,Colombia,Córdoba: 8 cities,50,59,30.3674918,20.6523783,38.3390695
148,Colombia,Córdoba: 8 cities,60,69,40.4357859,30.8666829,49.0745991
148,Colombia,Córdoba: 8 cities,70,100,31.1490307,19.8941805,41.554779
156,Jordan,National Study,0,4,27.0304819,18.2803256,36.4926253
156,Jordan,National Study,5,9,37.1476417,31.0287742,43.5945417
156,Jordan,National Study,10,14,35.5724539,30.3876685,41.1184035
156,Jordan,National Study,15,19,35.8365181,30.8595121,41.1054352
156,Jordan,National Study,20,29,30.4866732,26.3359475,34.8092751
156,Jordan,National Study,30,59,34.1809981,30.7349573,37.8450042
156,Jordan,National Study,60,64,38.2450365,31.36456,45.6280747
156,Jordan,National Study,65,100,28.6129522,22.1438418,35.4725409
192,Hungary,National Study,15,39,0.3038734,0.034734,0.673511
192,Hungary,National Study,40,64,0.4681464,0.1297946,0.8351921
192,Hungary,National Study,65,100,0.6614935,0.2675519,1.1542132
201,India,Tamil Nadu (iFlash districts),0,100,43.9440959,41.4616347,46.4126142
202,India,Tamil Nadu (Vitros districts),0,100,25.8569643,24.7322707,27.3016252
203,India,Malegaon (city population),0,25,42.2201885,30.2873231,54.8486043
203,India,Malegaon (city population),26,35,33.995208,24.987655,43.7500069
203,India,Malegaon (city population),36,45,44.9643192,34.3322495,56.0675558
203,India,Malegaon (city population),46,60,45.3890783,33.9157221,57.3281152
203,India,Malegaon (city population),61,100,36.0349293,16.2014453,58.6802659
209,Brazil,"Cuiabá, Mato Grosso",20,29,17.1216537,11.0289759,24.3837851
209,Brazil,"Cuiabá, Mato Grosso",30,49,16.7227263,12.5636236,21.4451263
209,Brazil,"Cuiabá, Mato Grosso",50,59,25.2555443,18.227685,33.1636879
209,Brazil,"Cuiabá, Mato Grosso",60,100,15.7616519,10.6256568,21.7575305
216,Brazil,"Várzea Grande, Mato Grosso",20,29,26.2338743,16.7728147,37.2840497
216,Brazil,"Várzea Grande, Mato Grosso",30,49,31.8897093,25.7145322,38.7181033
216,Brazil,"Várzea Grande, Mato Grosso",50,59,27.0813331,19.1412737,36.0497581
216,Brazil,"Várzea Grande, Mato Grosso",60,100,12.8160709,8.1807798,18.5911553
218,Brazil,Pitangueiras,0,100,7.0556983,3.0579113,11.5379443
220,Brazil,Mato Grosso (8 cities),0,29,11.2456116,8.4527466,14.4925937
220,Brazil,Mato Grosso (8 cities),30,49,13.1058712,10.8745611,15.7016775
220,Brazil,Mato Grosso (8 cities),50,59,8.1504798,5.6573827,11.0117767
220,Brazil,Mato Grosso (8 cities),60,100,8.4641301,6.2093332,11.0554709
221,Paraguay,Asunción + Central Department,0,19,19.1280347,11.8354883,25.4400773
221,Paraguay,Asunción + Central Department,20,29,24.6638618,16.4557582,32.4114399
221,Paraguay,Asunción + Central Department,30,39,25.8145008,17.5272185,33.7419679
221,Paraguay,Asunción + Central Department,40,49,20.2930236,11.3716508,28.6663314
221,Paraguay,Asunción + Central Department,50,59,19.2900536,9.8600704,28.6047269
221,Paraguay,Asunción + Central Department,60,100,19.2774297,10.3529279,27.9857313
17,India,Pune (five prabhags/subwards),18,30,54.9010044,48.5569559,62.0332668
17,India,Pune (five prabhags/subwards),31,50,56.0627154,50.8376031,62.3207459
17,India,Pune (five prabhags/subwards),51,65,58.3092323,52.1478573,65.4624615
17,India,Pune (five prabhags/subwards),66,100,40.6387942,32.6897445,49.1814108
22,Mozambique,Beira,0,14,3.3044302,2.313529,4.4220814
22,Mozambique,Beira,15,34,6.9178738,5.6297987,8.2979979
22,Mozambique,Beira,35,59,6.6422854,4.9480233,8.5554056
22,Mozambique,Beira,60,100,4.0482411,1.8526238,6.9882596
25,Mozambique,Matola district (subset of Maputo province),0,14,2.3164513,1.5207369,3.20596
25,Mozambique,Matola district (subset of Maputo province),15,34,3.9149139,3.0038254,4.9135951
25,Mozambique,Matola district (subset of Maputo province),35,59,4.5697245,3.3930211,5.8784523
25,Mozambique,Matola district (subset of Maputo province),60,100,4.1147479,2.5027069,6.0622949
26,Mozambique,Nampula,0,14,2.6199052,0.8695831,4.6696817
26,Mozambique,Nampula,15,34,5.4218241,3.4020822,7.5245052
26,Mozambique,Nampula,35,59,4.5797403,2.2636354,7.289953
26,Mozambique,Nampula,60,100,4.3561959,1.0053798,9.4999896
27,Mozambique,Pemba,0,14,1.4671142,0.30698,3.1794405
27,Mozambique,Pemba,15,34,2.878065,1.157308,5.014039
27,Mozambique,Pemba,35,59,3.0923389,0.9440392,6.0016714
27,Mozambique,Pemba,60,100,5.5053396,1.1616922,12.571458
28,Mozambique,Quelimane,0,14,2.5839832,1.7064241,3.5831837
28,Mozambique,Quelimane,15,34,4.2156873,3.2489897,5.2690888
28,Mozambique,Quelimane,35,59,1.4518579,0.6460682,2.4407482
28,Mozambique,Quelimane,60,100,1.2464923,0.2070056,3.0704724
29,Mozambique,Tete,0,14,0.4247018,0.0490135,1.1692297
29,Mozambique,Tete,15,34,0.9247696,0.1762285,2.0565872
29,Mozambique,Tete,35,59,1.0286835,0.1543756,2.5558566
29,Mozambique,Tete,60,100,3.0180399,0.4209845,7.5528487
30,Mozambique,Chimoio,0,14,0.273343,0.0439835,0.6461081
30,Mozambique,Chimoio,15,34,0.4326062,0.0949423,0.8731049
30,Mozambique,Chimoio,35,59,0.8748198,0.2551164,1.645812
30,Mozambique,Chimoio,60,100,1.5267953,0.3873323,3.1106691
31,Mozambique,Chókwè ,0,14,5.7893058,4.3448121,7.4015501
31,Mozambique,Chókwè ,15,34,5.7613996,4.1932184,7.5738232
31,Mozambique,Chókwè ,35,59,4.9788872,3.0496819,7.3049407
31,Mozambique,Chókwè ,60,100,4.1317169,1.6706633,7.4776656
32,Mozambique,Maxixe,0,14,4.7583014,3.5664759,6.0562616
32,Mozambique,Maxixe,15,34,5.4705125,4.0402927,7.0687127
32,Mozambique,Maxixe,35,59,5.1199886,3.3941447,7.0633973
32,Mozambique,Maxixe,60,100,4.1743245,1.9966453,6.9249248
33,Mozambique,Massinga,0,14,4.4849617,2.7122891,6.5314765
33,Mozambique,Massinga,15,34,10.565448,7.8190577,13.5811741
33,Mozambique,Massinga,35,59,7.4262259,4.3022786,11.1616685
